Index,Start Time (s),End Time (s),Device,Input Type
145,2.3857944012,2.3877902031,tpu,video
146,2.4000115395,2.4026019573,tpu,video
147,2.4159445763,2.4189293385,tpu,video
148,2.4315180779,2.4343342781,tpu,video
149,2.4466326237,2.449981451,tpu,video
150,2.4625434875,2.4646782875,tpu,video
151,2.4789116383,2.4809119701,tpu,video
152,2.4932579994,2.4962878227,tpu,video
153,2.5100381374,2.5119888783,tpu,video
154,2.5241103172,2.5270922184,tpu,video
155,2.5396542549,2.5426664352,tpu,video
156,2.5552511215,2.5582411289,tpu,video
157,2.5707783699,2.5733230114,tpu,video
158,2.5868473053,2.588848114,tpu,video
159,2.6027669907,2.6058454514,tpu,video
160,2.6181325912,2.6210291386,tpu,video
161,2.6348516941,2.6368639469,tpu,video
162,2.6489331722,2.6511538029,tpu,video
163,2.6657977104,2.6677262783,tpu,video
164,2.6769096851,2.6790926456,tpu,video
165,2.6929810047,2.6949877739,tpu,video
166,2.707818985,2.7098169327,tpu,video
167,2.7228813171,2.7260181904,tpu,video
168,2.7382662296,2.741174221,tpu,video
169,2.7513287067,2.7536277771,tpu,video
170,2.7671954632,2.7690880299,tpu,video
171,2.7833676338,2.7857496738,tpu,video
172,2.7984144688,2.8012480736,tpu,video
173,2.8140692711,2.8171539307,tpu,video
174,2.8287231922,2.831662178,tpu,video
175,2.8448290825,2.84684515,tpu,video
176,2.8616123199,2.8626587391,tpu,video
177,2.8758573532,2.878837347,tpu,video
178,2.8909473419,2.8929333687,tpu,video
179,2.9079174995,2.9099075794,tpu,video
180,2.9216890335,2.9243645668,tpu,video
181,2.9369566441,2.938959837,tpu,video
182,2.9539227486,2.955930233,tpu,video
183,2.968460083,2.9714541435,tpu,video
184,2.984210968,2.9872243404,tpu,video
185,2.9998588562,3.0018577576,tpu,video
186,3.0159182549,3.0180873871,tpu,video
187,3.0311784744,3.033703804,tpu,video
188,3.0470266342,3.0490107536,tpu,video
189,3.0627174377,3.0653054714,tpu,video
190,3.0785479546,3.0805308819,tpu,video
191,3.0937256813,3.096722126,tpu,video
192,3.1088507175,3.111161232,tpu,video
193,3.1241681576,3.1270878315,tpu,video
194,3.1400618553,3.1430141926,tpu,video
195,3.1553506851,3.1583504677,tpu,video
196,3.1718800068,3.1739695072,tpu,video
197,3.1864871979,3.1884860992,tpu,video
198,3.2018842697,3.204403162,tpu,video
199,3.2187592983,3.220751524,tpu,video
200,3.233171463,3.2362594604,tpu,video
201,3.2491931915,3.2510054111,tpu,video
202,3.2610514164,3.263876915,tpu,video
203,3.2771229744,3.2801496983,tpu,video
204,3.2931637764,3.2951831818,tpu,video
205,3.3087387085,3.3117403984,tpu,video
206,3.3239347935,3.3262417316,tpu,video
207,3.339846611,3.3425989151,tpu,video
208,3.3549516201,3.3578469753,tpu,video
209,3.3704109192,3.3728206158,tpu,video
210,3.3857014179,3.3879623413,tpu,video
211,3.401507616,3.4030196667,tpu,video
212,3.4158923626,3.418489933,tpu,video
213,3.4310486317,3.4329712391,tpu,video
214,3.4465303421,3.4494922161,tpu,video
215,3.4628899097,3.4649028778,tpu,video
