Frame Index,Inference Time (s),Device,Input Type
212,0.1759502888,cpu,image
213,0.1746590137,cpu,image
214,0.1753075123,cpu,image
215,0.1893405914,cpu,image
216,0.1978340149,cpu,image
217,0.1685142517,cpu,image
218,0.1743087769,cpu,image
219,0.1430928707,cpu,image
220,0.1747226715,cpu,image
221,0.174302578,cpu,image
222,0.190363884,cpu,image
223,0.1746075153,cpu,image
224,0.1735079288,cpu,image
225,0.1745114326,cpu,image
226,0.1901752949,cpu,image
227,0.1747834682,cpu,image
228,0.1605391502,cpu,image
229,0.1885421276,cpu,image
230,0.1783349514,cpu,image
231,0.1269552708,cpu,image
232,0.1743986607,cpu,image
233,0.1757259369,cpu,image
234,0.1757295132,cpu,image
235,0.1758255959,cpu,image
236,0.1899273396,cpu,image
237,0.1756224632,cpu,image
238,0.1755468845,cpu,image
239,0.1749396324,cpu,image
240,0.1741406918,cpu,image
241,0.1746141911,cpu,image
242,0.1902446747,cpu,image
243,0.1257147789,cpu,image
244,0.1750736237,cpu,image
245,0.1804490089,cpu,image
246,0.1693906784,cpu,image
247,0.1751782894,cpu,image
248,0.1751286983,cpu,image
249,0.2065501213,cpu,image
250,0.190980196,cpu,image
251,0.1748268604,cpu,image
252,0.1746406555,cpu,image
253,0.158611536,cpu,image
254,0.1744012833,cpu,image
255,0.1584961414,cpu,image
256,0.1916277409,cpu,image
257,0.1750581264,cpu,image
258,0.1750283241,cpu,image
259,0.1745955944,cpu,image
260,0.1749465466,cpu,image
261,0.1755297184,cpu,image
262,0.2063913345,cpu,image
263,0.1752114296,cpu,image
264,0.1758000851,cpu,image
265,0.1756720543,cpu,image
266,0.1437513828,cpu,image
267,0.1752607822,cpu,image
268,0.1914722919,cpu,image
269,0.1752035618,cpu,image
270,0.1764535904,cpu,image
271,0.1741807461,cpu,image
272,0.1754481792,cpu,image
273,0.1755907536,cpu,image
274,0.1902194023,cpu,image
275,0.175121069,cpu,image
276,0.1904511452,cpu,image
277,0.1759798527,cpu,image
278,0.1276845932,cpu,image
279,0.1757056713,cpu,image
280,0.1743047237,cpu,image
281,0.1912753582,cpu,image
282,0.1883394718,cpu,image
283,0.3345162868,cpu,image
284,0.1751499176,cpu,image
285,0.1744785309,cpu,image
286,0.1743373871,cpu,image
287,0.1894860268,cpu,image
288,0.1757919788,cpu,image
289,0.1274199486,cpu,image
290,0.1749536991,cpu,image
291,0.1745889187,cpu,image
292,0.1747868061,cpu,image
293,0.1916975975,cpu,image
294,0.1874592304,cpu,image
295,0.1599457264,cpu,image
296,0.1749346256,cpu,image
297,0.1916458607,cpu,image
298,0.1749100685,cpu,image
299,0.1590967178,cpu,image
300,0.1435680389,cpu,image
301,0.1598241329,cpu,image
302,0.1753277779,cpu,image
303,0.1748335361,cpu,image
304,0.1790106297,cpu,image
305,0.1707954407,cpu,image
306,0.1751043797,cpu,image
307,0.1909954548,cpu,image
308,0.174737215,cpu,image
309,0.1915032864,cpu,image
310,0.1752300262,cpu,image
311,0.1744637489,cpu,image
312,0.1758975983,cpu,image
313,0.1588494778,cpu,image
314,0.195538044,cpu,image
315,0.1715190411,cpu,image
316,0.159911871,cpu,image
317,0.1595680714,cpu,image
318,0.1751272678,cpu,image
319,0.1747405529,cpu,image
320,0.1920642853,cpu,image
321,0.174795866,cpu,image
322,0.1753613949,cpu,image
323,0.1763014793,cpu,image
324,0.1754009724,cpu,image
325,0.1287097931,cpu,image
326,0.1745808125,cpu,image
327,0.1916236877,cpu,image
328,0.1758012772,cpu,image
329,0.1748201847,cpu,image
330,0.1747646332,cpu,image
331,0.1761932373,cpu,image
332,0.1747667789,cpu,image
333,0.1906523705,cpu,image
334,0.1761405468,cpu,image
335,0.1757953167,cpu,image
336,0.1759800911,cpu,image
337,0.1120855808,cpu,image
338,0.1759212017,cpu,image
339,0.1750953197,cpu,image
340,0.207413435,cpu,image
341,0.1736907959,cpu,image
342,0.1749606133,cpu,image
343,0.1752254963,cpu,image
344,0.1742072105,cpu,image
345,0.178068161,cpu,image
346,0.1879827976,cpu,image
347,0.1759698391,cpu,image
348,0.1906676292,cpu,image
349,0.1585958004,cpu,image
350,0.1583604813,cpu,image
351,0.1913235188,cpu,image
352,0.1591804028,cpu,image
353,0.1969132423,cpu,image
354,0.1678731441,cpu,image
355,0.1910784245,cpu,image
356,0.1620373726,cpu,image
357,0.174012661,cpu,image
358,0.1591556072,cpu,image
359,0.1908516884,cpu,image
360,0.16908741,cpu,image
361,0.1647553444,cpu,image
362,0.1759164333,cpu,image
363,0.1757524014,cpu,image
364,0.1907360554,cpu,image
365,0.1847457886,cpu,image
366,0.1967906952,cpu,image
367,0.1867039204,cpu,image
368,0.1769943237,cpu,image
369,0.1910810471,cpu,image
370,0.1751079559,cpu,image
371,0.1750607491,cpu,image
372,0.129242897,cpu,image
373,0.1677594185,cpu,image
374,0.1610116959,cpu,image
375,0.17456007,cpu,image
376,0.1749238968,cpu,image
377,0.1904520988,cpu,image
378,0.1971375942,cpu,image
379,0.183608532,cpu,image
380,0.1750144958,cpu,image
381,0.1742446423,cpu,image
382,0.1591622829,cpu,image
383,0.1745097637,cpu,image
384,0.1905386448,cpu,image
385,0.1750226021,cpu,image
386,0.1911258698,cpu,image
387,0.1591000557,cpu,image
388,0.1748626232,cpu,image
389,0.1745598316,cpu,image
390,0.1594786644,cpu,image
391,0.176743269,cpu,image
392,0.1901829243,cpu,image
393,0.1911888123,cpu,image
394,0.17446208,cpu,image
395,0.1602566242,cpu,image
396,0.1595854759,cpu,image
397,0.1749410629,cpu,image
398,0.175287962,cpu,image
399,0.1596693993,cpu,image
400,0.1910204887,cpu,image
401,0.1751265526,cpu,image
402,0.1750502586,cpu,image
403,0.1756167412,cpu,image
404,0.1759927273,cpu,image
405,0.1908576488,cpu,image
406,0.1915998459,cpu,image
407,0.1752121449,cpu,image
408,0.1755926609,cpu,image
409,0.1753692627,cpu,image
410,0.1758389473,cpu,image
411,0.1268520355,cpu,image
412,0.1913020611,cpu,image
413,0.1755764484,cpu,image
414,0.1749787331,cpu,image
415,0.1908679008,cpu,image
416,0.1753740311,cpu,image
417,0.1748347282,cpu,image
418,0.1758723259,cpu,image
419,0.1888508797,cpu,image
420,0.1911680698,cpu,image
421,0.1761648655,cpu,image
422,0.1664505005,cpu,image
423,0.1518800259,cpu,image
424,0.1754059792,cpu,image
425,0.1961135864,cpu,image
426,0.1687493324,cpu,image
427,0.1748421192,cpu,image
428,0.1757719517,cpu,image
429,0.1592979431,cpu,image
430,0.1759815216,cpu,image
431,0.1913592815,cpu,image
432,0.1907365322,cpu,image
433,0.1750636101,cpu,image
434,0.1582460403,cpu,image
435,0.1747729778,cpu,image
436,0.174808979,cpu,image
437,0.1603922844,cpu,image
438,0.1907799244,cpu,image
439,0.2071061134,cpu,image
440,0.1746449471,cpu,image
441,0.177182436,cpu,image
442,0.1722929478,cpu,image
443,0.1751387119,cpu,image
444,0.2064213753,cpu,image
445,0.1902821064,cpu,image
446,0.1114974022,cpu,image
447,0.174022913,cpu,image
448,0.1834189892,cpu,image
449,0.1667017937,cpu,image
450,0.1904323101,cpu,image
451,0.2013297081,cpu,image
452,0.1800193787,cpu,image
453,0.143872261,cpu,image
454,0.1752669811,cpu,image
455,0.1923012733,cpu,image
456,0.1755883694,cpu,image
457,0.181227684,cpu,image
458,0.1542165279,cpu,image
459,0.1747393608,cpu,image
460,0.1807122231,cpu,image
461,0.1852769852,cpu,image
462,0.1749982834,cpu,image
463,0.1772296429,cpu,image
464,0.1762773991,cpu,image
465,0.1746203899,cpu,image
466,0.1751959324,cpu,image
467,0.1927587986,cpu,image
468,0.1740577221,cpu,image
469,0.1589262486,cpu,image
470,0.131282568,cpu,image
471,0.1869118214,cpu,image
472,0.1757166386,cpu,image
473,0.1755073071,cpu,image
474,0.1740186214,cpu,image
475,0.1749820709,cpu,image
476,0.1758444309,cpu,image
477,0.1914973259,cpu,image
478,0.2123289108,cpu,image
479,0.1850745678,cpu,image
480,0.1897776127,cpu,image
481,0.175465107,cpu,image
482,0.159535408,cpu,image
483,0.17471838,cpu,image
484,0.1755607128,cpu,image
485,0.1754097939,cpu,image
486,0.1752607822,cpu,image
487,0.191488266,cpu,image
488,0.1596748829,cpu,image
489,0.1758301258,cpu,image
490,0.2070887089,cpu,image
491,0.1901321411,cpu,image
492,0.1594061852,cpu,image
493,0.1596069336,cpu,image
494,0.1747739315,cpu,image
495,0.1750206947,cpu,image
496,0.1796805859,cpu,image
497,0.1862370968,cpu,image
498,0.1752636433,cpu,image
499,0.1744682789,cpu,image
500,0.1757588387,cpu,image
501,0.1756038666,cpu,image
502,0.1742150784,cpu,image
503,0.158197403,cpu,image
504,0.1271932125,cpu,image
505,0.1429560184,cpu,image
506,0.1646399498,cpu,image
507,0.1859068871,cpu,image
508,0.1594774723,cpu,image
509,0.1760525703,cpu,image
510,0.1589329243,cpu,image
511,0.1756498814,cpu,image
512,0.1749436855,cpu,image
513,0.1819024086,cpu,image
514,0.1753027439,cpu,image
515,0.1759021282,cpu,image
516,0.1762757301,cpu,image
517,0.1753780842,cpu,image
518,0.1749837399,cpu,image
519,0.1914508343,cpu,image
520,0.1594951153,cpu,image
521,0.174728632,cpu,image
522,0.1749792099,cpu,image
523,0.1918714046,cpu,image
524,0.174189806,cpu,image
525,0.1757280827,cpu,image
526,0.1748406887,cpu,image
527,0.1748571396,cpu,image
528,0.1755115986,cpu,image
529,0.1589286327,cpu,image
530,0.1909656525,cpu,image
531,0.1909012794,cpu,image
532,0.1753146648,cpu,image
533,0.1751542091,cpu,image
534,0.1748335361,cpu,image
535,0.1761701107,cpu,image
536,0.1750314236,cpu,image
537,0.189940691,cpu,image
538,0.1749236584,cpu,image
539,0.1904506683,cpu,image
540,0.1751754284,cpu,image
541,0.1414473057,cpu,image
542,0.1745893955,cpu,image
543,0.1911170483,cpu,image
544,0.1760897636,cpu,image
545,0.1752808094,cpu,image
546,0.1743121147,cpu,image
547,0.1746351719,cpu,image
548,0.1744120121,cpu,image
549,0.1754300594,cpu,image
550,0.1914482117,cpu,image
551,0.1914126873,cpu,image
552,0.1753692627,cpu,image
553,0.1593317986,cpu,image
554,0.1754231453,cpu,image
555,0.15970397,cpu,image
556,0.1911137104,cpu,image
557,0.1914861202,cpu,image
558,0.1565794945,cpu,image
559,0.1753332615,cpu,image
560,0.159583807,cpu,image
561,0.1603076458,cpu,image
562,0.1875407696,cpu,image
563,0.1941387653,cpu,image
564,0.1271879673,cpu,image
565,0.1751952171,cpu,image
566,0.1743898392,cpu,image
567,0.1741192341,cpu,image
568,0.1756358147,cpu,image
569,0.1763329506,cpu,image
570,0.1906979084,cpu,image
571,0.1741595268,cpu,image
572,0.1741893291,cpu,image
573,0.1911711693,cpu,image
574,0.1624302864,cpu,image
575,0.1400365829,cpu,image
576,0.175308466,cpu,image
577,0.1774976254,cpu,image
578,0.1728858948,cpu,image
579,0.175712347,cpu,image
580,0.1904218197,cpu,image
581,0.1903338432,cpu,image
582,0.1754131317,cpu,image
583,0.1758275032,cpu,image
584,0.1740698814,cpu,image
585,0.1753578186,cpu,image
586,0.1594791412,cpu,image
587,0.1907324791,cpu,image
588,0.1749324799,cpu,image
589,0.1796686649,cpu,image
590,0.170740366,cpu,image
591,0.1764843464,cpu,image
592,0.1736741066,cpu,image
593,0.1801066399,cpu,image
594,0.1862578392,cpu,image
595,0.174580574,cpu,image
596,0.1908111572,cpu,image
597,0.1760418415,cpu,image
598,0.1269147396,cpu,image
599,0.1744589806,cpu,image
600,0.1897754669,cpu,image
601,0.1743123531,cpu,image
602,0.175658226,cpu,image
603,0.1760714054,cpu,image
604,0.1740586758,cpu,image
605,0.1748969555,cpu,image
606,0.1907103062,cpu,image
