Frame Index,Inference Time (s),Device,Input Type
234,0.0078580379,tpu,image
235,0.002153635,tpu,image
236,0.0,tpu,image
237,0.0,tpu,image
238,0.0,tpu,image
239,0.0,tpu,image
240,0.009955883,tpu,image
241,0.0,tpu,image
242,0.0040304661,tpu,image
243,0.0019996166,tpu,image
244,0.0019986629,tpu,image
245,0.0010182858,tpu,image
246,0.0020225048,tpu,image
247,0.0026800632,tpu,image
248,0.0015323162,tpu,image
249,0.0019989014,tpu,image
250,0.0025069714,tpu,image
251,0.0015411377,tpu,image
252,0.0020160675,tpu,image
253,0.0019955635,tpu,image
254,0.0010070801,tpu,image
255,0.0019979477,tpu,image
256,0.0022704601,tpu,image
257,0.0015134811,tpu,image
258,0.002155304,tpu,image
259,0.0020046234,tpu,image
260,0.0018701553,tpu,image
261,0.0021226406,tpu,image
262,0.0,tpu,image
263,0.0,tpu,image
264,0.0,tpu,image
265,0.0,tpu,image
266,0.0,tpu,image
267,0.0099034309,tpu,image
268,0.0,tpu,image
269,0.0038318634,tpu,image
270,0.0,tpu,image
271,0.0,tpu,image
272,0.0058627129,tpu,image
273,0.0,tpu,image
274,0.0,tpu,image
275,0.0,tpu,image
276,0.0,tpu,image
277,0.0102360249,tpu,image
278,0.0,tpu,image
279,0.0,tpu,image
280,0.0,tpu,image
281,0.0100274086,tpu,image
282,0.0,tpu,image
283,0.0,tpu,image
284,0.0056438446,tpu,image
285,0.0,tpu,image
286,0.0042312145,tpu,image
287,0.0017454624,tpu,image
288,0.0020105839,tpu,image
289,0.0,tpu,image
290,0.0,tpu,image
291,0.006203413,tpu,image
292,0.0033142567,tpu,image
293,0.0,tpu,image
294,0.0,tpu,image
295,0.0065104961,tpu,image
296,0.0,tpu,image
297,0.0045723915,tpu,image
298,0.0,tpu,image
299,0.0042507648,tpu,image
300,0.0015130043,tpu,image
301,0.0,tpu,image
302,0.0,tpu,image
303,0.0,tpu,image
304,0.0,tpu,image
305,0.0098340511,tpu,image
306,0.0,tpu,image
307,0.0018806458,tpu,image
308,0.0,tpu,image
309,0.0,tpu,image
310,0.0,tpu,image
311,0.0100045204,tpu,image
312,0.0016379356,tpu,image
313,0.0029108524,tpu,image
314,0.0020406246,tpu,image
315,0.0013272762,tpu,image
316,0.002038002,tpu,image
317,0.0,tpu,image
