Index,Start Time (s),End Time (s),Device,Input Type
56,11.0999596119,11.0999596119,tpu,image
57,11.1157851219,11.1157851219,tpu,image
58,11.1157851219,11.1157851219,tpu,image
59,11.1157851219,11.1157851219,tpu,image
60,11.1157851219,11.1157851219,tpu,image
61,11.1157851219,11.1316130161,tpu,image
62,11.1316130161,11.1316130161,tpu,image
63,11.1316130161,11.1475112438,tpu,image
64,11.1475112438,11.1475112438,tpu,image
65,11.1475112438,11.1475112438,tpu,image
66,11.1475112438,11.1475112438,tpu,image
67,11.1475112438,11.163359642,tpu,image
68,11.163359642,11.163359642,tpu,image
69,11.163359642,11.163359642,tpu,image
70,11.163359642,11.163359642,tpu,image
71,11.163359642,11.163359642,tpu,image
72,11.163359642,11.1793384552,tpu,image
73,11.1793384552,11.1826238632,tpu,image
74,11.1826238632,11.1826238632,tpu,image
75,11.1826238632,11.1826238632,tpu,image
76,11.1826238632,11.1826238632,tpu,image
77,11.1826238632,11.1826238632,tpu,image
78,11.1826238632,11.1951096058,tpu,image
79,11.1951096058,11.198274374,tpu,image
80,11.198274374,11.198274374,tpu,image
81,11.198274374,11.198274374,tpu,image
82,11.198274374,11.198274374,tpu,image
83,11.198274374,11.2121441364,tpu,image
84,11.2121441364,11.2121441364,tpu,image
85,11.2121441364,11.2121441364,tpu,image
86,11.2121441364,11.2121441364,tpu,image
87,11.2121441364,11.2121441364,tpu,image
88,11.2121441364,11.2121441364,tpu,image
89,11.2268073559,11.2268073559,tpu,image
90,11.2268073559,11.2268073559,tpu,image
91,11.2268073559,11.2268073559,tpu,image
92,11.2268073559,11.2268073559,tpu,image
93,11.2268073559,11.2268073559,tpu,image
94,11.2268073559,11.2425215244,tpu,image
95,11.2425215244,11.2425215244,tpu,image
96,11.2425215244,11.2425215244,tpu,image
97,11.2425215244,11.2425215244,tpu,image
98,11.2425215244,11.2425215244,tpu,image
99,11.2425215244,11.2425215244,tpu,image
100,11.2585506439,11.2585506439,tpu,image
101,11.2585506439,11.2585506439,tpu,image
102,11.2585506439,11.2585506439,tpu,image
103,11.2585506439,11.2585506439,tpu,image
104,11.2585506439,11.2585506439,tpu,image
105,11.2743909359,11.2743909359,tpu,image
106,11.2743909359,11.2743909359,tpu,image
107,11.2743909359,11.2743909359,tpu,image
108,11.2743909359,11.2743909359,tpu,image
109,11.2743909359,11.2743909359,tpu,image
110,11.2743909359,11.2922651768,tpu,image
111,11.2922651768,11.2950413227,tpu,image
112,11.2950413227,11.2984569073,tpu,image
113,11.2984569073,11.2984569073,tpu,image
114,11.2984569073,11.2984569073,tpu,image
115,11.3060419559,11.3060419559,tpu,image
116,11.3060419559,11.3060419559,tpu,image
117,11.3060419559,11.3060419559,tpu,image
118,11.3060419559,11.3060419559,tpu,image
119,11.3060419559,11.3060419559,tpu,image
120,11.3060419559,11.3236691952,tpu,image
121,11.3236691952,11.3236691952,tpu,image
122,11.3236691952,11.3236691952,tpu,image
123,11.3236691952,11.3236691952,tpu,image
124,11.3236691952,11.3236691952,tpu,image
125,11.3380281925,11.3403453827,tpu,image
126,11.3403453827,11.3434438705,tpu,image
127,11.3434438705,11.3454914093,tpu,image
128,11.3454914093,11.3454914093,tpu,image
129,11.3454914093,11.3538315296,tpu,image
130,11.3538315296,11.3538315296,tpu,image
131,11.3538315296,11.3538315296,tpu,image
132,11.3538315296,11.3538315296,tpu,image
133,11.3538315296,11.3538315296,tpu,image
134,11.3538315296,11.369954586,tpu,image
135,11.369954586,11.369954586,tpu,image
136,11.369954586,11.369954586,tpu,image
137,11.369954586,11.369954586,tpu,image
138,11.369954586,11.3818044662,tpu,image
139,11.3818044662,11.3818044662,tpu,image
140,11.3858041763,11.3858041763,tpu,image
141,11.3858041763,11.3858041763,tpu,image
142,11.3858041763,11.3858041763,tpu,image
143,11.3858041763,11.3858041763,tpu,image
144,11.3987624645,11.4017679691,tpu,image
145,11.4017679691,11.4017679691,tpu,image
146,11.4017679691,11.4017679691,tpu,image
147,11.4017679691,11.4017679691,tpu,image
148,11.4017679691,11.4017679691,tpu,image
149,11.4017679691,11.4179446697,tpu,image
150,11.4179446697,11.4179446697,tpu,image
151,11.4179446697,11.4222986698,tpu,image
152,11.4222986698,11.4252307415,tpu,image
153,11.4252307415,11.4252307415,tpu,image
154,11.4252307415,11.433618784,tpu,image
155,11.433618784,11.433618784,tpu,image
156,11.433618784,11.433618784,tpu,image
157,11.433618784,11.433618784,tpu,image
158,11.433618784,11.433618784,tpu,image
159,11.433618784,11.433618784,tpu,image
160,11.4495062828,11.4495062828,tpu,image
161,11.4495062828,11.4495062828,tpu,image
162,11.4495062828,11.4495062828,tpu,image
163,11.4495062828,11.4495062828,tpu,image
164,11.4495062828,11.4495062828,tpu,image
165,11.4495062828,11.4653513432,tpu,image
166,11.4653513432,11.4653513432,tpu,image
167,11.4653513432,11.4734749794,tpu,image
168,11.4734749794,11.4734749794,tpu,image
169,11.4734749794,11.4734749794,tpu,image
170,11.4734749794,11.4828162193,tpu,image
171,11.4828162193,11.4828162193,tpu,image
172,11.4828162193,11.4828162193,tpu,image
173,11.4828162193,11.4828162193,tpu,image
174,11.4828162193,11.4973368645,tpu,image
175,11.4973368645,11.4999759197,tpu,image
176,11.4999759197,11.4999759197,tpu,image
177,11.4999759197,11.4999759197,tpu,image
178,11.4999759197,11.4999759197,tpu,image
179,11.4999759197,11.513266325,tpu,image
180,11.513266325,11.513266325,tpu,image
181,11.513266325,11.513266325,tpu,image
182,11.513266325,11.513266325,tpu,image
183,11.513266325,11.513266325,tpu,image
184,11.513266325,11.5293233395,tpu,image
185,11.5293233395,11.532766819,tpu,image
